gene,cell_type,mean_expr,pct_expressing,n_cells
NCOR2,Mesothelial,0.0476798575237027,1.98507462686567,6700
NCOR2,Progenitor,0.0392738003553738,1.37304838888274,9031
NCOR2,Endothelial,0.0389168528826482,1.42949967511371,1539
NCOR2,Immune,0.0366598247035192,1.44304912976427,9078
PEX6,Mesothelial,0.0251580750265093,1.08955223880597,6700
PEX6,Progenitor,0.00612887636577887,0.232532388439818,9031
PEX6,Immune,0.00467135255559324,0.176250275391055,9078
PEX6,Endothelial,0.00174975696213,0.0649772579597141,1539
RSPO3,Progenitor,0.0439650754604283,1.4837780976636,9031
RSPO3,Mesothelial,0.00968593058036596,0.447761194029851,6700
RSPO3,Endothelial,0.00583396614056887,0.194931773879142,1539
RSPO3,Immune,0.0021929547013813,0.0881251376955276,9078
VEGFA,Mesothelial,0.0885067651672691,3.8955223880597,6700
VEGFA,Endothelial,0.0525177277514404,1.94931773879142,1539
VEGFA,Immune,0.0431204324039196,1.60828376294338,9078
VEGFA,Progenitor,0.0410953557317249,1.45055918502934,9031
ZNF664,Mesothelial,0.0524472378084412,2.26865671641791,6700
ZNF664,Endothelial,0.0405315955110821,1.49447693307342,1539
ZNF664,Progenitor,0.0242757072246519,0.830472815856494,9031
ZNF664,Immune,0.0141589838632886,0.583829037232871,9078
